Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,5,100,5,100.00,5,0,0,0,0
02:00,0,0,3,66.66,0,0,0,0,0,0,0,0,0,0,3,66.66,5,35.33,0,29.33,65.33
03:00,0,0,3,66.66,0,0,0,0,0,0,0,0,0,0,3,66.66,5,39.66,1,25,66
04:00,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100.00,5,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
08:00,0,0,2,50,0,0,0,0,0,0,0,0,2,100,4,75.00,4,21.5,0,11.5,33
09:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,4,0,0,0,0
10:00,0,0,2,50,0,0,0,0,0,0,0,0,1,100,3,66.66,5,28,0,31,59.5
11:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,5,0,0,0,0
12:00,0,0,36,83.33,0,0,0,0,0,0,0,0,14,100,50,88.00,4,24.58,0.25,134.13,159.16
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
15:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
16:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,5,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,5,0,0,0,0
18:00,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,100.00,5,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,5,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100.00,5,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
